סמל_ישוב‭,‬שם_ישוב‭,‬שם_רחוב
967‭,‬אבו‭ ‬ג‭'‬ווייעד‭ (‬שבט‭) ,‬אבו‭ ‬ג‭'‬ווייעד‭ (‬שבט‭)‬
472‭,‬אבו‭ ‬גוש‭ ,‬אבו‭ ‬גוש
472‭,‬אבו‭ ‬גוש‭ ,‬אל‭ ‬רשיד
472‭,‬אבו‭ ‬גוש‭ ,‬אל‭-‬חנאא‭'‬
472‭,‬אבו‭ ‬גוש‭ ,‬אלעבד‭ ‬עלי
472‭,‬אבו‭ ‬גוש‭ ,‬בית‭ ‬הבד
472‭,‬אבו‭ ‬גוש‭ ,‬ג‭'‬בר
472‭,‬אבו‭ ‬גוש‭ ,‬דאוד‭ ‬עבדאללה
472‭,‬אבו‭ ‬גוש‭ ,‬דולב
472‭,‬אבו‭ ‬גוש‭ ,‬דרך‭ ‬הגוש
472‭,‬אבו‭ ‬גוש‭ ,‬דרך‭ ‬השלום
472‭,‬אבו‭ ‬גוש‭ ,‬דרך‭ ‬מעלה‭ ‬החמשה
472‭,‬אבו‭ ‬גוש‭ ,‬האגוז
472‭,‬אבו‭ ‬גוש‭ ,‬האורנים
472‭,‬אבו‭ ‬גוש‭ ,‬האיריס
472‭,‬אבו‭ ‬גוש‭ ,‬האלה
472‭,‬אבו‭ ‬גוש‭ ,‬הארזים
472‭,‬אבו‭ ‬גוש‭ ,‬הארמונות
472‭,‬אבו‭ ‬גוש‭ ,‬הבושם
472‭,‬אבו‭ ‬גוש‭ ,‬הברוש
472‭,‬אבו‭ ‬גוש‭ ,‬הגורן
472‭,‬אבו‭ ‬גוש‭ ,‬הגנים
472‭,‬אבו‭ ‬גוש‭ ,‬הגפנים
472‭,‬אבו‭ ‬גוש‭ ,‬הדובדבנים
472‭,‬אבו‭ ‬גוש‭ ,‬הוואדי
472‭,‬אבו‭ ‬גוש‭ ,‬הורד
472‭,‬אבו‭ ‬גוש‭ ,‬הזיתים
472‭,‬אבו‭ ‬גוש‭ ,‬החווה
472‭,‬אבו‭ ‬גוש‭ ,‬החומה
472‭,‬אבו‭ ‬גוש‭ ,‬החרוב
472‭,‬אבו‭ ‬גוש‭ ,‬הלימון
472‭,‬אבו‭ ‬גוש‭ ,‬המאפיה‭ ‬הישנה
472‭,‬אבו‭ ‬גוש‭ ,‬המעברה
472‭,‬אבו‭ ‬גוש‭ ,‬המפעל
472‭,‬אבו‭ ‬גוש‭ ,‬המצפה
472‭,‬אבו‭ ‬גוש‭ ,‬המשתלה
472‭,‬אבו‭ ‬גוש‭ ,‬הנענע
472‭,‬אבו‭ ‬גוש‭ ,‬הנרקיס
472‭,‬אבו‭ ‬גוש‭ ,‬העוזרד
472‭,‬אבו‭ ‬גוש‭ ,‬הפול
472‭,‬אבו‭ ‬גוש‭ ,‬הפרחים
472‭,‬אבו‭ ‬גוש‭ ,‬הרימונים
472‭,‬אבו‭ ‬גוש‭ ,‬השדות
472‭,‬אבו‭ ‬גוש‭ ,‬השושן
472‭,‬אבו‭ ‬גוש‭ ,‬השזיף
472‭,‬אבו‭ ‬גוש‭ ,‬השיכון
472‭,‬אבו‭ ‬גוש‭ ,‬השקדים
472‭,‬אבו‭ ‬גוש‭ ,‬התאנים
472‭,‬אבו‭ ‬גוש‭ ,‬התות
472‭,‬אבו‭ ‬גוש‭ ,‬התמר
472‭,‬אבו‭ ‬גוש‭ ,‬חאג‭' ‬עותמאן
472‭,‬אבו‭ ‬גוש‭ ,‬חג‭' ‬מוסא
472‭,‬אבו‭ ‬גוש‭ ,‬יסמין
472‭,‬אבו‭ ‬גוש‭ ,‬מחמוד‭ ‬רשיד
472‭,‬אבו‭ ‬גוש‭ ,‬מרכז‭ ‬הכפר
472‭,‬אבו‭ ‬גוש‭ ,‬נוטרדאם
472‭,‬אבו‭ ‬גוש‭ ,‬נטאף
472‭,‬אבו‭ ‬גוש‭ ,‬עבדאל‭ ‬עזיז
472‭,‬אבו‭ ‬גוש‭ ,‬עבדאל‭ ‬רחמן
472‭,‬אבו‭ ‬גוש‭ ,‬עמאוס
472‭,‬אבו‭ ‬גוש‭ ,‬ענבר
472‭,‬אבו‭ ‬גוש‭ ,‬ציפורן
472‭,‬אבו‭ ‬גוש‭ ,‬שייח‭ ‬איסמעיל
473‭,‬אבו‭ ‬סנאן‭ ,‬א‭-‬זייתון
473‭,‬אבו‭ ‬סנאן‭ ,‬א‭-‬טאלע
473‭,‬אבו‭ ‬סנאן‭ ,‬א‭-‬לוז
473‭,‬אבו‭ ‬סנאן‭ ,‬א‭-‬נביא‭ ‬זכריא
473‭,‬אבו‭ ‬סנאן‭ ,‬א‭-‬נור
